Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Jet,"3,650",473.0,169.0,97.0,7385,1520.0,5150.0,2900.0,"22,000",12775.0,55/5,53/5,2345.0,5100000.0
"T 210 K,L Turbo (K=9 mph less speed)",Jet,"3,650",472.0,461.0,97.0,7384,3699.0,5030.0,2900.0,"22,000",11811.0,55/6,53/6,2600.0,5100000.0
100 Darter (S.L. Industries),Jet,"3,650",472.0,169.0,89.0,7384,3909.0,4710.0,2560.0,"21,000",11720.0,55/6,53/6,2600.0,5100000.0
T 210 F Turbo Centurion,Jet,"3,786",0.76,429.0,82.0,6590,3090.0,3460.0,3315.0,"19,200",11310.0,51/10,55/8,2027.0,2000000.0
100 Darter (S.L. Industries),Jet,"3,400",0.755,427.0,83.0,5440,4500.0,1706.0,1525.0,"16,830",9977.0,48/9,54/1,1970.0,4500000.0
"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",Jet,"3,045",0.76,430.0,82.0,5771,4230.0,3180.0,2800.0,"16,300",9550.0,48/11,52/2,1960.0,2000000.0
210 F Centurion,Jet,"2,887",0.7,401.0,86.0,4860,3195.0,3600.0,3180.0,"14,800",8925.0,47/2,52/2,1900.0,2000000.0
100 Darter (S.L. Industries),Jet,"2,500",177.0,403.0,82.0,5820,3000.0,3240.0,3050.0,"15,000",8049.0,47/2,52/2,2104.0,4300000.0
100 Darter (S.L. Industries),Jet,"2,500",177.0,385.0,82.0,5008,3370.0,2990.0,2270.0,"13,300",7388.0,47/2,52/2,1930.0,4300000.0
T 207 (Stationair 7 & 8) '77=eng 310 hp,Jet,"2,500",177.0,385.0,82.0,5009,3625.0,2650.0,2210.0,"12,500",7181.0,47/2,52/2,2104.0,4300000.0
100 Darter (S.L. Industries),Jet,"2,820",0.737,351.0,56.0,4710,2460.0,1706.0,2770.0,"13,870",8300.0,50/2,53/4,1875.0,4500000.0
"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Jet,"1,900",0.71,380.0,85.0,3220,3311.0,3080.0,2750.0,"10,400",6550.0,42/6,46/8,1485.0,4100000.0
"TU 206E,F (ski) (prior'76=4 gal more fuel)",Jet,"2,200",177.0,357.0,82.0,3807,2719.0,2930.0,2270.0,"11,850",6631.0,43/6,47/1,1325.0,4100000.0
"U206 E,F (ski) Super Skywagon",Jet,"2,200",177.0,351.0,56.0,3780,2680.0,2930.0,2270.0,"11,850",6684.0,43/6,47/1,1325.0,4100000.0
100 Darter (S.L. Industries),Jet,"2,200",177.0,348.0,85.0,3780,2900.0,2660.0,2300.0,"11,500",6454.0,43/6,43/11,1308.0,4100000.0
"TU 206E,F Stationair",Jet,"2,200",177.0,348.0,84.0,3618,2900.0,2550.0,2310.0,"10,850",6350.0,43/6,43/9,1064.0,3500000.0
100 Darter (S.L. Industries),Propjet,625,295.0,283.0,76.0,475,2435.0,2465.0,1875.0,"9,850",5682.0,39/0,49/4,2193.0,3500000.0
"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Propjet,450,263.0,169.0,84.0,366,1861.0,2490.0,2150.0,"8,600",4948.0,35/10,44/1,1248.0,3340000.0
100 Darter (S.L. Industries),Propjet,450,263.0,250.0,79.0,366,2027.0,2341.0,2145.0,"8,200",4915.0,35/10,44/1,1461.0,3470000.0
U 206 A,Piston,375,257.0,241.0,74.0,213,1940.0,2323.0,2293.0,"7,450",5048.0,36/5,41/1,1197.0,3020000.0
100 Darter (S.L. Industries),Piston,375,245.0,235.0,74.0,175,1850.0,2387.0,2178.0,"7,450",4426.0,36/1,41/9,845.0,3100000.0
"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,375,240.0,227.0,76.0,175,1700.0,2516.0,2110.0,"6,840",4252.0,33/8,39/9,826.0,2600000.0
100 Darter (S.L. Industries),Piston,375,240.0,222.0,76.0,170,1700.0,2516.0,2110.0,"6,800",4237.0,33/5,39/9,826.0,2600000.0
206H Stationair,Piston,310,235.0,224.0,72.0,213,1520.0,2595.0,2393.0,"6,750",4543.0,36/4,44/1,1099.0,3080000.0
100 Darter (S.L. Industries),Piston,310,239.0,224.0,70.0,102,1580.0,2350.0,1865.0,"6,350",4039.0,33/9,39/11,1090.0,3010000.0
P 206 Super Skylane,Piston,340,231.0,214.0,72.0,175,1900.0,2010.0,1851.0,"6,500",3865.0,33/5,39/9,908.0,2600000.0
100 Darter (S.L. Industries),Piston,375,232.0,217.0,70.0,348,1575.0,2367.0,2130.0,"8,400",4965.0,39/6,46/4,553.0,2600000.0
195 B,Piston,325,230.0,213.0,68.0,213,1450.0,2195.0,2485.0,"6,850",4238.0,36/4,44/1,875.0,2690000.0
100 Darter (S.L. Industries),Piston,300,229.0,210.0,70.0,102,1610.0,2220.0,1765.0,"6,300",4038.0,36/1,39/11,1180.0,2618000.0
195,Piston,300,227.0,209.0,69.0,102,1610.0,2220.0,1765.0,"6,300",3719.0,35/8,39/9,833.0,2618000.0
100 Darter (S.L. Industries),Piston,300,227.0,209.0,69.0,102,1610.0,2220.0,1765.0,"6,300",3674.0,33/8,39/9,1102.0,2618000.0
T 188C Ag Husky (prior'81=4 mph less),Piston,310,243.0,229.0,71.0,102,1650.0,2175.0,1850.0,"5,990",4184.0,34/4,38/1,1106.0,2980000.0
100 Darter (S.L. Industries),Piston,285,226.0,210.0,71.0,102,1500.0,2430.0,1840.0,"5,975",3730.0,34/4,38/1,1258.0,2650000.0
A188B Ag Wagon ('79 & up) dispersal sys,Piston,300,230.0,215.0,71.0,102,1400.0,2365.0,1850.0,"5,990",3963.0,34/4,38/1,928.0,2680000.0
100 Darter (S.L. Industries),Piston,285,239.0,226.0,64.0,102,1924.0,1515.0,1734.0,"5,300",3273.0,29/6,36/9,735.0,2900000.0
A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,260,229.0,213.0,63.0,102,1820.0,1584.0,1910.0,"5,200",3260.0,29/6,36/9,735.0,2810000.0
100 Darter (S.L. Industries),Piston,260,230.0,204.0,68.0,102,1820.0,1890.0,2056.0,"4,990",3190.0,29/5,36/9,740.0,2810000.0
188 Ag Pickup fixed-prop ('72) restricted,Piston,285,237.0,223.0,70.0,102,1700.0,1662.0,1790.0,"5,500",3723.0,31/11,36/11,517.0,2740000.0
100 Darter (S.L. Industries),Piston,285,238.0,225.0,67.0,102,1790.0,1662.0,1790.0,"5,500",3292.0,29/6,36/9,807.0,2820000.0
"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,285,239.0,226.0,66.0,102,1862.0,1590.0,1790.0,"5,400",3292.0,29/3,36/9,807.0,2860000.0
100 Darter (S.L. Industries),Piston,285,207.0,194.0,70.0,102,1662.0,1700.0,1790.0,"5,500",3603.0,31/11,36/11,661.0,1975000.0
A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,260,205.0,192.0,63.0,102,1495.0,1795.0,1697.0,"5,300",3214.0,29/6,36/9,680.0,1950000.0
A185 F II Skywagon (prior '81=less perform),Piston,260,206.0,193.0,62.0,102,1540.0,1716.0,1673.0,"5,200",3170.0,29/2,36/9,676.0,1990000.0
100 Darter (S.L. Industries),Piston,260,206.0,193.0,65.0,102,1540.0,1716.0,1582.0,"5,200",3125.0,29/5,36/11,676.0,1990000.0
185 E Skywagon,Piston,260,207.0,194.0,65.0,102,1590.0,1640.0,1540.0,"5,100",3094.0,29/6,36/11,687.0,2030000.0
100 Darter (S.L. Industries),Piston,260,209.0,194.0,65.0,102,1690.0,1545.0,1900.0,"5,100",3063.0,29/5,37/5,687.0,2110000.0
R182 II RG Turbo Skylane,Piston,260,210.0,191.0,73.0,102,1800.0,1395.0,1720.0,"4,990",3049.0,29/5,36/9,678.0,2130000.0
100 Darter (S.L. Industries),Piston,240,191.0,178.0,71.0,102,1700.0,1375.0,1710.0,"4,600",2850.0,27/1,36/1,640.0,1950000.0
T-182R II Turbo Skylane,Piston,250,216.0,180.0,62.0,155,1480.0,1750.0,1450.0,"5,000",3305.0,30/5,38/10,835.0,2500000.0
100 Darter (S.L. Industries),Piston,225,211.0,204.0,62.0,150,1170.0,1500.0,1675.0,"4,700",3184.0,29/10,38/2,939.0,2000000.0
182T Skylane,Piston,210,207.0,200.0,62.0,90,1160.0,1675.0,1650.0,"4,630",3038.0,29/10,38/2,1080.0,2000000.0
100 Darter (S.L. Industries),Piston,210,200.0,194.0,61.0,93,1105.0,1675.0,1650.0,"4,630",2850.0,29/10,38/2,920.0,2930000.0
182R II (1981 & up),Piston,210,201.0,195.0,61.0,93,1155.0,1595.0,1650.0,"4,500",2815.0,29/10,38/0,920.0,3010000.0
100 Darter (S.L. Industries),Piston,210,201.0,195.0,59.0,93,1155.0,1595.0,1520.0,"4,500",2795.0,29/10,38/0,920.0,3010000.0
182 N Skylane,Piston,210,202.0,196.0,57.0,93,1250.0,1490.0,1500.0,"4,300",2785.0,29/1,38/0,920.0,3100000.0
100 Darter (S.L. Industries),Piston,210,172.0,169.0,61.0,90,940.0,1675.0,1650.0,"4,630",2925.0,29/9,38/2,1139.0,1630000.0
"182 E,F,G,H",Piston,210,173.0,165.0,61.0,93,1100.0,1675.0,1650.0,"4,630",2695.0,29/9,38/2,920.0,1800000.0
100 Darter (S.L. Industries),Piston,210,173.0,166.0,60.0,93,1180.0,1565.0,1650.0,"4,440",2660.0,29/9,38/2,922.0,1930000.0
182,Piston,210,173.0,166.0,60.0,93,1200.0,1545.0,1650.0,"4,400",2655.0,29/9,38/0,920.0,1950000.0
100 Darter (S.L. Industries),Piston,210,173.0,166.0,58.0,93,1200.0,1545.0,1520.0,"4,400",2650.0,29/9,38/0,922.0,1950000.0
"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,210,174.0,167.0,57.0,93,1250.0,1490.0,1500.0,"4,300",2615.0,29/9,38/0,922.0,2000000.0
100 Darter (S.L. Industries),Piston,210,174.0,167.0,55.0,93,1200.0,1435.0,1465.0,"4,200",2615.0,29/9,38/0,922.0,2050000.0
"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,210,159.0,150.0,52.0,93,1300.0,1145.0,1395.0,"3,900",2320.0,29/7,38/0,880.0,1900000.0
100 Darter (S.L. Industries),Propjet,675,182.0,154.0,61.0,335,1234.0,2053.0,1655.0,"8,000",3973.0,37/6,52/1,866.0,2500000.0
180,Propjet,675,186.0,154.0,61.0,335,975.0,2420.0,1880.0,"8,750",4765.0,41/7,52/1,810.0,2370000.0
100 Darter (S.L. Industries),Piston,310,235.0,235.0,60.0,388,1400.0,1706.0,1525.0,3600,2350.0,25/2,36,1270.0,2500000.0
177 RG Cardinal,Piston,325,224.0,212.0,55.0,85,1150.0,2110.0,1600.0,"4,100",2471.0,28/4,38/10,715.0,2500000.0
100 Darter (S.L. Industries),Piston,310,201.0,191.0,58.0,90,945.0,2160.0,1500.0,"4,000",2481.0,28/2,36/9,661.0,2300000.0
177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,325,224.0,207.0,55.0,87,1150.0,2110.0,1600.0,"4,100",2320.0,28/4,38/10,715.0,2900000.0
100 Darter (S.L. Industries),Piston,310,204.0,192.0,58.0,90,930.0,2160.0,1500.0,"4,000",2303.0,28/2,36/9,715.0,2700000.0
177 Cardinal,Piston,310,204.0,197.0,57.0,90,1030.0,1900.0,1500.0,"3,800",2306.0,28/2,36/9,732.0,2850000.0
100 Darter (S.L. Industries),Piston,285,205.0,187.0,57.0,90,930.0,2030.0,1500.0,"3,800",2180.0,28/3,36/9,732.0,2850000.0
"175,-A,-B",Piston,285,203.0,194.0,55.0,89,1115.0,1365.0,1355.0,"3,400",2050.0,28/3,36/9,739.0,3020000.0
100 Darter (S.L. Industries),Piston,285,200.0,191.0,54.0,65,1280.0,1265.0,1340.0,"3,300",1965.0,28/0,36/7,539.0,3130000.0
172 Q Cutlass,Piston,300,175.0,169.0,53.0,87,1060.0,2050.0,1585.0,"3,850",2220.0,28/2,38/10,600.0,1600000.0
100 Darter (S.L. Industries),Piston,300,174.0,170.0,57.0,90,950.0,2030.0,1500.0,"3,800",2219.0,28/2,36/9,600.0,1730000.0
172S Skyhawk SP,Piston,285,174.0,167.0,55.0,90,1000.0,1365.0,1355.0,"3,400",1960.0,28/3,36/9,760.0,1830000.0
100 Darter (S.L. Industries),Piston,285,172.0,165.0,54.0,65,1115.0,1265.0,1340.0,"3,300",1865.0,28/0,36/7,640.0,1990000.0
172 P II Skyhawk,Piston,285,173.0,166.0,53.0,65,1210.0,1110.0,1275.0,"3,100",1860.0,28/4,36/7,640.0,2100000.0
100 Darter (S.L. Industries),Piston,260,170.0,160.0,52.0,65,1270.0,1210.0,1110.0,"3,000",1780.0,27/3,36/6,680.0,2030000.0
172 M Skyhawk ('76=4 mph more speed),Piston,260,173.0,165.0,51.0,65,1300.0,1135.0,1190.0,"2,900",1740.0,27/3,36/5,700.0,2070000.0
100 Darter (S.L. Industries),Piston,310,170.0,161.0,59.0,61,885.0,1860.0,1500.0,"3,800",2254.0,32/2,35/10,583.0,2600000.0
R172K/Hawk XP (floats),Piston,300,150.0,143.0,59.0,61,810.0,1970.0,1500.0,"3,800",2177.0,32/2,35/10,612.0,1330000.0
100 Darter (S.L. Industries),Piston,310,155.0,135.0,52.0,92,835.0,2790.0,1750.0,"3,600",2404.0,29/8,35/10,640.0,2560000.0
172 M (float plane 1974-76),Piston,285,157.0,143.0,50.0,65,950.0,2400.0,1610.0,"3,600",2295.0,28/6,35/10,626.0,2420000.0
100 Darter (S.L. Industries),Piston,300,137.0,131.0,51.0,92,925.0,2820.0,1675.0,"3,500",2342.0,29/8,35/10,680.0,1390000.0
172 K & L float plane,Piston,300,136.0,130.0,53.0,61,855.0,2475.0,1570.0,"3,500",2312.0,29/8,35/10,580.0,1390000.0
100 Darter (S.L. Industries),Piston,300,136.0,131.0,49.0,65,855.0,2475.0,1570.0,"3,500",2200.0,28/6,35/10,510.0,1390000.0
"172,-D,-E,-F,-G,-H",Piston,300,136.0,131.0,56.0,65,855.0,2475.0,1570.0,"3,500",2060.0,28/6,36/10,510.0,1390000.0
100 Darter (S.L. Industries),Piston,285,145.0,132.0,61.0,65,920.0,1706.0,1525.0,"3,300",2165.0,28/8,35/10,626.0,2350000.0
100 Darter (S.L. Industries),Piston,300,121.0,119.0,52.0,65,800.0,1706.0,1525.0,"3,300",2065.0,28/8,35/10,510.0,1150000.0
"170,-A,-B",Piston,310,174.0,152.0,54.0,92,1010.0,1640.0,1395.0,"3,600",2066.0,28/3,35/10,640.0,2700000.0
100 Darter (S.L. Industries),Piston,285,174.0,148.0,53.0,65,1030.0,1810.0,1395.0,"3,600",1935.0,28/9,35/10,580.0,2630000.0
"150M, A150M (Aerobat span=32/9)",Piston,285,174.0,160.0,53.0,65,1030.0,1810.0,1395.0,"3,600",1795.0,27/8,36/7,627.0,2630000.0
100 Darter (S.L. Industries),Piston,300,156.0,147.0,54.0,92,920.0,1780.0,1395.0,"3,600",2002.0,28/3,35/10,680.0,1480000.0
A 150 L Aerobat (1974),Piston,300,151.0,143.0,53.0,65,920.0,1780.0,1395.0,"3,600",1725.0,28/8,36/7,510.0,1480000.0
100 Darter (S.L. Industries),Piston,285,151.0,142.0,53.0,65,920.0,1810.0,1340.0,"3,600",1795.0,27/9,36/7,555.0,1480000.0
"150 H,J,K (K=8/8 height)",Piston,285,154.0,144.0,52.0,65,1075.0,1265.0,1340.0,"3,300",1760.0,27/9,36/7,563.0,1670000.0
100 Darter (S.L. Industries),Piston,285,174.0,160.0,53.0,65,1030.0,1810.0,1395.0,"3,600",1915.0,28/3,36/7,609.0,2630000.0
"150 D,-E,-F,-G",Piston,310,178.0,150.0,54.0,92,1050.0,1740.0,1395.0,"3,600",2351.0,28/3,36/0,713.0,2700000.0
100 Darter (S.L. Industries),Piston,300,151.0,142.0,54.0,92,988.0,1860.0,1395.0,"3,600",2351.0,28/3,36/0,713.0,1570000.0
150,Piston,285,151.0,142.0,53.0,65,920.0,1810.0,1395.0,"3,600",1820.0,28/3,36/7,555.0,1480000.0
100 Darter (S.L. Industries),Piston,285,154.0,143.0,52.0,65,1075.0,1265.0,1340.0,"3,300",1790.0,28/2,36/6,565.0,1670000.0
140,Piston,260,145.0,138.0,50.0,65,965.0,1465.0,1510.0,"3,300",1750.0,27/3,36/6,515.0,1610000.0
100 Darter (S.L. Industries),Piston,275,152.0,143.0,54.0,80,1135.0,1605.0,1495.0,"3,350",2050.0,27/3,36/2,583.0,1625000.0
Vision Jet SF50,Piston,245,153.0,139.0,56.0,80,1050.0,1670.0,1495.0,"3,350",2030.0,27/3,36/2,603.0,1600000.0
Columbia 400 LC-41,Piston,300,157.0,148.0,55.0,80,1090.0,1670.0,1495.0,"3,350",2050.0,27/3,36/2,600.0,1600000.0
Columbia 350 LC-42,Piston,240,153.0,139.0,56.0,80,1090.0,1670.0,1495.0,"3,350",2015.0,27/3,36/2,610.0,1600000.0
100 Darter (S.L. Industries),Piston,310,113.0,106.0,58.0,54,510.0,2060.0,1265.0,"4,400",2322.0,26/6,41/8,283.0,1400000.0
115TC,Piston,300,106.0,101.0,57.0,54,465.0,2250.0,1265.0,"4,200",2230.0,25/11,41/8,290.0,780000.0
100 Darter (S.L. Industries),Piston,300,107.0,103.0,55.0,54,525.0,1965.0,1265.0,"4,000",2179.0,25/11,40/9,290.0,870000.0
114TC,Piston,300,105.0,98.0,50.0,54,690.0,1090.0,1265.0,"4,200",2220.0,26/3,41/8,290.0,1110000.0
100 Darter (S.L. Industries),Piston,300,105.0,98.0,50.0,37,690.0,1090.0,1265.0,"4,000",2189.0,26/3,40/9,278.0,1110000.0
"114,('76-24/10 length + less performance)",Piston,230,91.0,78.0,50.0,37,400.0,1920.0,1265.0,"3,800",1900.0,25/3,40/9,204.0,650000.0
100 Darter (S.L. Industries),Piston,230,94.0,83.0,50.0,37,460.0,1740.0,1265.0,"3,800",1835.0,25/3,40/9,204.0,770000.0
112B,Piston,300,131.0,123.0,50.0,37,940.0,970.0,1265.0,"3,300",1845.0,26/3,40/4,278.0,1570000.0
100 Darter (S.L. Industries),Piston,230,103.0,101.0,50.0,37,710.0,1365.0,1265.0,"3,300",1815.0,25/3,40/4,204.0,1300000.0
112,Piston,300,136.0,130.0,50.0,88,950.0,1710.0,1480.0,"3,100",2253.0,27/6,35/10,500.0,1610000.0
Top Cub,Piston,300,141.0,134.0,52.0,88,960.0,2125.0,1565.0,"3,320",1998.0,27/0,35/10,522.0,1640000.0
100 Darter (S.L. Industries),Piston,300,155.0,145.0,49.0,88,1075.0,1430.0,1400.0,"3,350",1750.0,25/8,35/10,645.0,1790000.0
Falcon 900 (3-eng fan jet),Piston,300,155.0,147.0,51.0,65,1040.0,1330.0,1400.0,"3,350",1565.0,25/6,36/2,470.0,1750000.0
100 Darter (S.L. Industries),Piston,300,153.0,145.0,54.0,65,950.0,1290.0,1285.0,"3,300",1560.0,25/6,36/2,470.0,1690000.0
Falcon 200,Piston,260,153.0,145.0,54.0,65,1000.0,1510.0,1265.0,"3,200",1520.0,25/5,36/0,561.0,1730000.0
100 Darter (S.L. Industries),Piston,235,187.0,173.0,50.0,92,1040.0,1570.0,1320.0,"3,100",1846.0,28/8,35/10,845.0,2000000.0
Falcon Fan Jet D 20,Piston,235,160.0,156.0,50.0,92,1140.0,1570.0,1320.0,"3,100",1809.0,28/8,35/10,845.0,1800000.0
100 Darter (S.L. Industries),Piston,235,168.0,157.0,49.0,92,965.0,1475.0,1350.0,"3,100",1781.0,28/5,35/10,743.0,2000000.0
Falcon F 20,Piston,235,176.0,159.0,49.0,92,1040.0,1385.0,1350.0,"3,100",2075.0,29/0,36/0,971.0,2000000.0
100 Darter (S.L. Industries),Piston,230,150.0,145.0,49.0,92,924.0,1514.0,1350.0,"3,100",1970.0,29/0,36/0,930.0,1810000.0
Falcon Fan Jet 10,Piston,230,143.0,140.0,46.0,88,924.0,1625.0,1280.0,"3,110",1882.0,28/0,16/0,813.0,1810000.0
100 Darter (S.L. Industries),Piston,230,146.0,142.0,49.0,92,865.0,1515.0,1350.0,"3,100",1775.0,28/0,35/10,817.0,1490000.0
DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Piston,230,148.0,143.0,50.0,92,1010.0,1350.0,1350.0,"2,950",1754.0,28/0,35/10,817.0,1650000.0
100 Darter (S.L. Industries),Piston,230,146.0,139.0,50.0,65,890.0,1350.0,1350.0,"2,950",1640.0,28/1,35/10,550.0,1770000.0
DHC 6-200 Twin Otter,Piston,230,148.0,141.0,48.0,65,980.0,1205.0,1350.0,"2,800",1620.0,28/5,36/2,550.0,1890000.0
Twin Star Diamond DA42,Piston,230,148.0,141.0,48.0,65,980.0,1205.0,1350.0,"2,800",1610.0,27/4,36/2,550.0,1890000.0
100 Darter (S.L. Industries),Piston,230,148.0,141.0,54.0,55,1030.0,1080.0,1310.0,"2,650",1560.0,26/0,36/0,450.0,1980000.0
Katana DA20-C1,Piston,230,143.0,135.0,54.0,55,1120.0,1020.0,1290.0,"2,550",1540.0,26/0,36/0,443.0,2010000.0
100 Darter (S.L. Industries),Piston,230,137.0,123.0,48.0,88,970.0,1900.0,1720.0,"2,950",2204.0,27/6,35/10,804.0,1530000.0
100 Darter (S.L. Industries),Piston,230,137.0,123.0,48.0,61,990.0,2070.0,1720.0,"2,950",2110.0,27/6,35/10,804.0,1600000.0
TB-21 TC Trinidad,Piston,230,137.0,123.0,48.0,61,990.0,2070.0,1720.0,"2,950",1955.0,27/0,35/10,804.0,1600000.0
100 Darter (S.L. Industries),Piston,230,137.0,123.0,48.0,88,910.0,1706.0,1525.0,"2,800",1790.0,28/10,35/10,804.0,1470000.0
TB-200XL,Piston,230,148.0,141.0,48.0,88,1100.0,1205.0,1365.0,"2,800",1701.0,25/8,35/10,804.0,1770000.0
100 Darter (S.L. Industries),Piston,230,148.0,141.0,50.0,65,1090.0,1205.0,1365.0,"2,800",1525.0,25/6,36/2,622.0,1960000.0
TB-9 Tampico Club,Piston,230,148.0,139.0,54.0,55,1130.0,1080.0,1330.0,"2,650",1555.0,26/0,36/0,513.0,2150000.0
Eclipse 500,Piston,225,144.0,137.0,51.0,55,1110.0,1095.0,1310.0,"2,550",1540.0,26/0,36/0,513.0,2120000.0
100 Darter (S.L. Industries),Piston,200,157.0,149.0,50.0,61,925.0,1585.0,1350.0,"2,800",1765.0,27/3,35/6,500.0,1710000.0
Eurofox,Piston,200,153.0,144.0,50.0,51,860.0,1585.0,1350.0,"2,800",1630.0,27/3,35/6,506.0,1690000.0
Excalibur '800' conv. Beech Twin Bonanza,Piston,180,139.0,130.0,46.0,50,840.0,1400.0,1220.0,"2,500",1643.0,27/3,35/6,490.0,1460000.0
Excalibur conv. Beech Twin Bonanza,Piston,180,133.0,123.0,46.0,50,840.0,1400.0,1220.0,"2,500",1485.0,27/3,35/6,417.0,1460000.0
100 Darter (S.L. Industries),Piston,180,130.0,120.0,49.0,49,760.0,1575.0,1220.0,"2,500",1440.0,27/0,35/7,410.0,1580000.0
"Queen Air '8800' conv. Beech A80,B80",Piston,150,125.0,117.0,46.0,49,670.0,1575.0,1135.0,"2,350",1415.0,27/0,35/7,591.0,1270000.0
"Metro III,A",Piston,175,123.0,118.0,56.0,52,790.0,1450.0,1170.0,"2,450",1325.0,25/0,36/0,589.0,1450000.0
"Metro, II (prior '79 height=16/10)",Piston,175,128.0,121.0,54.0,52,850.0,1340.0,1155.0,"2,350",1312.0,25/0,36/0,593.0,1590000.0
100 Darter (S.L. Industries),Piston,180,144.0,140.0,50.0,66,800.0,1775.0,1340.0,"2,650",1627.0,27/5,35/10,720.0,1680000.0
Merlin IV C,Piston,180,123.0,122.0,48.0,54,680.0,1690.0,1335.0,"2,550",1480.0,26/11,36/1,475.0,1700000.0
100 Darter (S.L. Industries),Piston,195,132.0,130.0,47.0,52,870.0,1360.0,1345.0,"2,550",1572.0,27/2,35/10,570.0,1700000.0
Fairchild 300,Piston,180,126.0,124.0,48.0,56,730.0,1630.0,1335.0,"2,550",1663.0,27/2,36/1,638.0,1400000.0
100 Darter (S.L. Industries),Piston,160,123.0,122.0,47.0,53,720.0,1685.0,1295.0,"2,457",1600.0,26/11,36/1,580.0,1350000.0
"Merlin III C-23 (12,500 gross) (SN TT426 & up)",Piston,160,123.0,120.0,46.0,43,700.0,1625.0,1280.0,"2,400",1454.0,26/11,35/10,440.0,1300000.0
100 Darter (S.L. Industries),Piston,160,124.0,122.0,44.0,43,770.0,1390.0,1250.0,"2,300",1430.0,26/11,35/10,440.0,1420000.0
Merlin III A,Piston,150,122.0,115.0,44.0,42,645.0,1525.0,1250.0,"2,300",1335.0,26/11,35/10,435.0,1310000.0
100 Darter (S.L. Industries),Piston,150,122.0,115.0,43.0,42,645.0,1525.0,1250.0,"2,300",1315.0,26/11,35/9,417.0,1310000.0
Merlin II A,Piston,195,117.0,116.0,44.0,52,870.0,1850.0,1390.0,"2,550",1834.0,26/10,35/10,539.0,1550000.0
CTSW,Piston,160,96.0,95.0,44.0,43,740.0,2160.0,1345.0,"2,220",1632.0,26/8,35/10,440.0,1500000.0
800XP,Piston,150,98.0,97.0,44.0,42,715.0,2390.0,1345.0,"2,220",1574.0,27/0,35/10,435.0,1200000.0
100 Darter (S.L. Industries),Piston,150,94.0,92.0,45.0,42,580.0,2390.0,1345.0,"2,220",1450.0,27/0,35/9,435.0,1200000.0
G V,Piston,150,94.0,92.0,45.0,42,580.0,2390.0,1345.0,"2,220",1405.0,26/7,35/9,418.0,1200000.0
100 Darter (S.L. Industries),Piston,150,122.0,115.0,43.0,42,645.0,1525.0,1250.0,"2,300",1300.0,26/11,36/2,515.0,1310000.0
G IV,Piston,145,121.0,114.0,43.0,42,645.0,1525.0,1250.0,"2,300",1330.0,26/6,36/2,515.0,1310000.0
100 Darter (S.L. Industries),Piston,145,121.0,114.0,43.0,42,675.0,1450.0,1200.0,"2,250",1330.0,26/5,36/0,515.0,1420000.0
100 Darter (S.L. Industries),Piston,145,122.0,114.0,51.0,42,730.0,1370.0,1115.0,"2,200",1325.0,26/5,36/0,515.0,1510000.0
GII (G1159) with tip tanks,Piston,145,117.0,108.0,50.0,37,660.0,1650.0,1115.0,"2,200",1260.0,25/0,36/0,420.0,1330000.0
100 Darter (S.L. Industries),Piston,145,122.0,104.0,50.0,42,690.0,1820.0,1145.0,"2,200",1205.0,25/0,36/0,410.0,1550000.0
GI (G-159) ceiling quoted w/APU,Piston,110,110.0,107.0,43.0,26,715.0,1340.0,1200.0,"1,670",1141.0,24/1,33/2,315.0,1470000.0
"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",Piston,100,109.0,106.0,42.0,26,670.0,1385.0,1075.0,"1,600",1104.0,23/11,33/2,303.0,1400000.0
100 Darter (S.L. Industries),Piston,100,106.0,102.0,42.0,26,670.0,1385.0,1075.0,"1,600",1060.0,23/9,33/2,303.0,1265000.0
BH-124-400A (Beech mfg),Piston,100,108.0,103.0,42.0,26,670.0,1385.0,1075.0,"1,600",1040.0,23/9,32/9,303.0,1400000.0
100 Darter (S.L. Industries),Piston,100,104.0,100.0,42.0,26,670.0,1385.0,1075.0,"1,600",1020.0,23/9,32/9,303.0,1265000.0
1124A Westwind 2,Piston,100,106.0,102.0,42.0,26,670.0,1385.0,1075.0,"1,600",1065.0,23/9,32/9,303.0,1265000.0
100 Darter (S.L. Industries),Piston,100,90.0,85.0,43.0,26,560.0,2075.0,850.0,"1,650",1120.0,24/1,32/9,276.0,1070000.0
